,rxn_id,SMIRKS,condition,class_I,class_II,two_reacs,one_rad,not_spectator,rxn_smiles,HAT,elem_surrogate,no_paton_data,specific_rxn,formal_charges
2,409,"[H:5][C:4]([H:6])([C:3]([H:8])([C:2](=[CH2:1])[CH3:12])[O:9][O:10][H:11])[OH:7].[H:14][O:13]>>[H:5][C:4]([H:6])([C:3]([C:2](=[CH2:1])[CH3:12])[O:9][O:10][H:11])[OH:7].[H:14][O:13][H:8] 13-13,8; 3,8-13,8; 3,8-3",Room Temperature,Propagation,abstraction,True,True,True,C=C(C)C(CO)OO.[OH]>>C=C(C)[C](CO)OO.O,True,True,False,True,False
3,419,"[H:11][C:10]([H:12])([CH:9]=[C:2]([CH3:1])[C:3]([H:4])([H:5])[O:6][O:7][H:8])[OH:13].[H:14][O:15]>>[H:11][C:10]([H:12])([CH:9]=[C:2]([CH3:1])[C:3]([H:4])([H:5])[O:6][O:7])[OH:13].[H:14][O:15][H:8] 15-15,8; 7,8-15,8; 7,8-7",Room Temperature,Propagation,abstraction,True,True,True,CC(=CCO)COO.[OH]>>CC(=CCO)CO[O].O,True,True,False,True,False
4,420,"[H:13][CH:12]([CH:11]=[C:4]([CH3:3])[C:5]([H:6])([H:7])[O:8][O:9][H:10])[OH:14].[H:1][O:2]>>[H:13][CH:12]([CH:11]=[C:4]([CH3:3])[C:5]([H:6])[O:8][O:9][H:10])[OH:14].[H:1][O:2][H:7] 2-2,7; 5,7-2,7; 5,7-5",Room Temperature,Propagation,abstraction,True,True,True,CC(=CCO)COO.[OH]>>CC([CH]OO)=CCO.O,True,True,False,True,False
5,422,"[H:20][CH:21](C(C)(C1CO1)O)O.[OH:10]>>[H:20][OH:10].CC([CH:21]O)(C1CO1)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(O)(CO)C1CO1.[OH]>>CC(O)([CH]O)C1CO1.O,True,True,False,True,False
6,424,"[H:20][CH:21](C(C1(CO1)C)O)O.[OH:10]>>[H:20][OH:10].CC1(CO1)C([CH:21]O)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC1(C(O)CO)CO1.[OH]>>CC1(C(O)[CH]O)CO1.O,True,True,False,True,False
7,426,"[H:6][C:3]([CH2:4][OH:5])([C:2]1([CH2:8][O:9]1)[CH3:1])[OH:7].[H:10][O:11]>>[H:10][O:11][H:6].[CH3:1][C:2]1([CH2:8][O:9]1)[C:3]([CH2:4][OH:5])[OH:7] 11-11,6; 6,3-3; 6,3-11,6",Room Temperature,Propagation,abstraction,True,True,True,CC1(C(O)CO)CO1.[OH]>>CC1([C](O)CO)CO1.O,True,True,False,True,False
8,462,"[H:8][CH:7]([CH:5]1[C:3]([O:6]1)([CH3:4])[CH2:2][OH:1])[OH:9].[H:11][O:10]>>[H:11][O:10][H:8].[CH3:4][C:3]1([CH:5]([O:6]1)[CH:7][OH:9])[CH2:2][OH:1] 10-8,10;7,8-8,10;7,8-7",Room Temperature,Propagation,abstraction,True,True,True,CC1(CO)OC1CO.[OH]>>CC1(CO)OC1[CH]O.O,True,True,False,True,False
9,463,"[H:3][CH:2]([C:4]1([CH:6]([O:7]1)[CH2:8][OH:9])[CH3:5])[OH:1].[H:11][O:10]>>[H:11][O:10][H:3].[CH3:5][C:4]1([CH:6]([O:7]1)[CH2:8][OH:9])[CH:2][OH:1] 10-3,10;2,3-3,10;2,3-2",Room Temperature,Propagation,abstraction,True,True,True,CC1(CO)OC1CO.[OH]>>CC1([CH]O)OC1CO.O,True,True,False,True,False
10,498,"[H:20][CH:21](C(C)(C=O)O)O.[OH:10]>>[H:20][OH:10].CC([CH:21]O)(C=O)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(O)(C=O)CO.[OH]>>CC(O)([CH]O)C=O.O,True,True,False,True,False
14,749,"[H:20][CH2:21]O.[OH:10]>>[H:20][OH:10].[CH2:21]O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CO.[OH]>>[CH2]O.O,True,True,False,True,False
